Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10,Time (s) Run #11,Position (m) Run #11,Velocity (m/s) Run #11,Acceleration (m/s²) Run #11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96,1.18,-1.47,-5.15,0.96,0.88,-2.22,-2.1,0.96,1.48,-3.09E-04,-0.04,0.96,1.36,-1.31,-5.18,0.96,1.26,-1.29,-3.62,0.96,1.11,-1.77,-2.82,0.96,0.5,-2.02,-0.62,0.96,1.35,-1.17,-1.8,0.96,1.52,-0.6,-0.73,0.96,0.82,-1.33,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.98,1.15,-1.59,-5.85,0.98,0.84,-2.27,-2.45,0.98,1.48,0,0.03,0.98,1.34,-1.42,-5.27,0.98,1.24,-1.33,-3.88,0.98,1.07,-1.81,-1.61,0.98,0.46,-2.03,-0.47,0.98,1.33,-1.16,-0.44,0.98,1.51,-0.65,-5.47,0.98,0.8,-1.35,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.12,-1.72,-5.8,1,0.79,-2.3,-4.09,1,1.48,0,0.05,1,1.3,-1.53,-4.8,1,1.21,-1.42,-4.78,1,1.03,-1.83,0.12,1,0.42,-2.03,-0.44,1,1.3,-1.13,-0.95,1,1.51,-0.86,-8.04,1,0.77,-1.35,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02,1.08,-1.83,-5.2,1.02,0.74,-2.41,-5.9,1.02,1.48,0,0.09,1.02,1.27,-1.62,-4.36,1.02,1.18,-1.54,-5.36,1.02,1,-1.82,1.07,1.02,0.38,-2.04,-0.58,1.02,1.28,-1.19,-2.62,1.02,1.48,-1.08,-5.77,1.02,0.74,-1.34,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.04,1.04,-1.92,-4.86,1.04,0.7,-2.57,-6.41,1.04,1.48,0,0.19,1.04,1.24,-1.69,-4.44,1.04,1.14,-1.65,-5.11,1.04,0.96,-1.75,-0.24,1.04,0.34,-2.06,-0.67,1.04,1.26,-1.26,-3.07,1.04,1.45,-1.13,-1.65,1.04,0.72,-1.34,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.06,1,-2.01,-4.89,1.06,0.64,-2.7,-4.58,1.06,1.48,0.01,0.19,1.06,1.21,-1.79,-4.83,1.06,1.11,-1.75,-4.66,1.06,0.93,-1.77,-3.38,1.06,0.29,-2.07,-0.74,1.06,1.23,-1.34,-1.77,1.06,1.43,-1.07,1.27,1.06,0.69,-1.33,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.08,0.96,-2.12,-4.8,1.08,0.58,-2.77,-2.14,1.08,1.48,0.02,-0.02,1.08,1.17,-1.89,-4.76,1.08,1.08,-1.83,-4.25,1.08,0.9,-1.91,-5.17,1.08,0.25,-2.08,1.81,1.08,1.2,-1.34,-0.75,1.08,1.41,-1.07,1.61,1.08,0.66,-1.33,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,0.92,-2.21,-4.38,1.1,0.53,-2.76,-0.67,1.1,1.48,0.01,-0.31,1.1,1.13,-1.99,-3.98,1.1,1.04,-1.92,-3.61,1.1,0.85,-2.06,-3.44,1.1,0.21,-2.11,8.44,1.1,1.18,-1.32,-1.57,1.1,1.39,-0.99,-0.52,1.1,0.64,-1.33,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12,0.87,-2.29,-4,1.12,0.47,-2.78,-0.31,1.12,1.48,4.22E-4,-0.42,1.12,1.09,-2.06,-2.94,1.12,1,-1.98,-2.83,1.12,0.81,-2.08,-0.75,1.12,0.17,-1.8,212.78,1.12,1.15,-1.38,-3.64,1.12,1.37,-1.02,-4.18,1.12,0.61,-1.33,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.14,0.83,-2.37,-4.12,1.14,0.42,-2.78,-0.59,1.14,1.48,-0.01,-0.24,1.14,1.05,-2.1,-2.35,1.14,0.96,-2.03,-2.1,1.14,0.77,-2.02,-0.03,1.14,0.13,-1.33,541.22,1.14,1.12,-1.5,-4.07,1.14,1.36,-1.19,-6.32,1.14,0.58,-1.34,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.16,0.78,-2.45,-4.5,1.16,0.36,-2.79,-0.95,1.16,1.48,-0.01,-0.02,1.16,1,-2.14,-2.36,1.16,0.92,-2.07,-1.49,1.16,0.73,-2.05,-1.05,1.16,0.12,22.68,584.6,1.16,1.09,-1.6,-2.05,1.16,1.32,-1.38,-3.81,1.16,0.56,-1.35,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.18,0.73,-2.55,-4.54,1.18,0.31,-2.82,-0.49,1.18,1.48,-0.01,0.03,1.18,0.96,-2.19,-2.58,1.18,0.88,-2.09,-1.43,1.18,0.69,-2.1,-1.57,1.18,0.1,38.36,77.54,1.18,1.06,-1.59,0.3,1.18,1.29,-1.39,-0.32,1.18,0.53,-1.36,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,0.68,-2.65,-3.89,1.2,0.25,-2.85,180.44,1.2,1.48,-0.01,-0.08,1.2,0.92,-2.25,-2.62,1.2,0.83,-2.1,-2.4,1.2,0.64,-2.12,-1.23,1.2,2.92,28.66,-616.51,1.2,1.03,-1.53,0.68,1.2,1.27,-1.28,0.16,1.2,0.5,-1.37,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.22,0.62,-2.71,-2.86,1.22,0.19,-2.77,583.67,1.22,1.48,-0.01,-0.14,1.22,0.87,-2.3,-2.41,1.22,0.79,-2.17,-3.86,1.22,0.6,-2.13,-0.99,1.22,1.93,2,-723.88,1.22,1,-1.53,-0.78,1.22,1.25,-1.33,-1.74,1.22,0.47,-1.38,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.24,0.57,-2.75,-2,1.24,0.13,18.82,725.35,1.24,1.48,-0.01,-0.06,1.24,0.82,-2.34,-2.21,1.24,0.75,-2.28,-4.27,1.24,0.56,-2.16,-0.69,1.24,1.73,-14.94,-308.44,1.24,0.97,-1.57,-2.08,1.24,1.22,-1.42,-2.3,1.24,0.45,-1.38,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.26,0.51,-2.79,-1.46,1.26,0.09,45.55,164.39,1.26,1.48,-0.01,0.11,1.26,0.78,-2.39,-2.05,1.26,0.7,-2.37,-2.85,1.26,0.52,-2.17,-0.04,1.26,1.53,-4.91,97.22,1.26,0.94,-1.64,-2.13,1.26,1.19,-1.45,-0.89,1.26,0.42,-1.38,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.28,0.46,-2.81,-0.5,1.28,2.61,35.87,-752.87,1.28,1.48,-0.01,0.17,1.28,0.73,-2.43,-2,1.28,0.65,-2.4,-1.23,1.28,0.47,-2.16,0.49,1.28,1.53,-1.45,167.13,1.28,0.9,-1.67,-1.21,1.28,1.16,-1.43,-0.15,1.28,0.39,-1.38,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,0.4,-2.83,0.71,1.3,3.18,-0.09,-1022,1.3,1.48,0,0.46,1.3,0.68,-2.46,-2.14,1.3,0.61,-2.39,-0.67,1.3,0.43,-2.14,0.39,1.3,1.54,0.17,53.15,1.3,0.87,-1.68,-0.15,1.3,1.13,-1.43,-0.71,1.3,0.36,-1.38,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.32,0.34,-2.77,0.37,1.32,1.35,-25.88,-426.21,1.32,1.48,-0.01,0.45,1.32,0.63,-2.51,-2.37,1.32,0.56,-2.42,-0.99,1.32,0.39,-2.14,4.58E-4,1.32,1.54,0.03,9.98,1.32,0.83,-1.67,0.13,1.32,1.1,-1.46,-1.56,1.32,0.34,-1.38,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.34,0.29,-2.74,86.28,1.34,1.34,-15.34,216.24,1.34,1.48,0.04,-0.87,1.34,0.58,-2.56,-2.41,1.34,0.51,-2.44,-1.29,1.34,0.34,-2.15,-0.18,1.34,1.54,-0.02,-4.43,1.34,0.8,-1.65,-0.52,1.34,1.07,-1.5,-1.81,1.34,0.31,-1.38,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.36,0.24,-2.85,264.19,1.36,1.34,-0.03,343.5,1.36,1.48,0.01,-2.38,1.36,0.53,-2.61,-2,1.36,0.46,-2.47,-1.21,1.36,0.3,-2.15,-0.18,1.36,1.54,-0.06,-6.11,1.36,0.77,-1.69,-1.41,1.36,1.04,-1.54,-1.61,1.36,0.28,-1.38,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.38,0.18,7.61,364.63,1.38,1.34,0,128.12,1.38,1.49,-0.12,-2.46,1.38,0.48,-2.65,-1.38,1.38,0.41,-2.49,-1.1,1.38,0.26,-2.15,2.48,1.38,1.54,-0.26,-6.59,1.38,0.74,-1.73,-1.46,1.38,1.01,-1.57,-1.34,1.38,0.25,-1.37,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,0.11,18.58,207.01,1.4,1.34,-0.01,0.77,1.4,1.48,-0.14,-1.55,1.4,0.42,-2.66,-0.89,1.4,0.36,-2.51,-0.87,1.4,0.21,-2.16,9.76,1.4,1.53,-0.45,-2.2,1.4,0.7,-1.76,-0.3,1.4,0.98,-1.59,-1.11,1.4,0.23,-1.37,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.42,1.33,19.58,-134.94,1.42,1.34,0.01,3.74,1.42,1.47,-0.12,-3.15,1.42,0.37,-2.68,-0.72,1.42,0.31,-2.53,0.5,1.42,0.17,-1.84,115.91,1.42,1.51,-0.42,4.29,1.42,0.66,-1.75,0.91,1.42,0.95,-1.61,-0.94,1.42,0.2,-1.36,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.44,1.32,10.02,-317.7,1.44,1.34,0.06,-10.2,1.44,1.48,-0.18,-7.79,1.44,0.32,-2.69,1.1,1.44,0.26,-2.53,4.23,1.44,0.13,-1.29,311.71,1.44,1.51,-0.17,7.04,1.44,0.63,-1.7,1.41,1.44,0.91,-1.63,-0.79,1.44,0.17,-1.31,8.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.46,1.32,-0.02,-245.82,1.46,1.35,0.39,-47.02,1.46,1.47,-0.45,-11.19,1.46,0.26,-2.71,6.26,1.46,0.21,-2.41,187.61,1.46,0.12,10.89,399.72,1.46,1.51,-0.03,4.81,1.46,0.59,-1.68,0.95,1.46,0.88,-1.64,-0.65,1.46,0.14,-1.02,96.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.48,1.32,0.05,-82.95,1.48,1.35,-1.61,-72.82,1.48,1.46,-0.74,-10.27,1.48,0.21,-2.5,191.01,1.48,0.16,-2.12,549.29,1.48,0.11,22.52,196.53,1.48,1.51,0,1.56,1.48,0.56,-1.66,-0.09,1.48,0.85,-1.66,-0.55,1.48,0.12,-0.67,310.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,1.32,0.04,-0.13,1.5,1.39,-3.97,-45.55,1.5,1.44,-0.9,-7.09,1.5,0.15,-2.11,584.96,1.5,0.12,19.58,732.62,1.5,1.5,22.32,-190.87,1.5,1.51,-0.02,0.6,1.5,0.53,-1.68,-0.77,1.5,0.81,-1.67,-0.48,1.5,0.12,9.55,445.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.52,1.32,0,-0.37,1.52,1.11,-4.33,26.45,1.52,1.42,-0.96,-5.83,1.52,0.12,19.64,722.94,1.52,0.09,41.4,381.07,1.52,1.46,10.86,-376.8,1.52,1.51,0,0.91,1.52,0.5,-1.72,-0.4,1.52,0.78,-1.67,-0.42,1.52,0.11,25.39,242.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.54,1.32,0.02,0.19,1.54,1.11,-2.36,68.71,1.54,1.4,-1.08,-6.86,1.54,0.09,45.35,180.83,1.54,2.62,41.99,-331,1.54,1.46,-0.36,-276.91,1.54,1.51,0.04,0.76,1.54,0.46,-1.72,-1.23,1.54,0.75,-1.68,-0.43,1.54,1.3,26.36,-228.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.56,1.32,0.03,0.05,1.56,1.11,-0.04,55.75,1.56,1.38,-1.26,-7.37,1.56,2.63,36.79,-708.41,1.56,2.62,21.19,-590.79,1.56,1.46,-0.02,-87.69,1.56,1.51,0.05,-0.02,1.56,0.42,-1.67,80.62,1.56,0.71,-1.69,-0.51,1.56,1.99,11.65,-508.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.58,1.32,0.03,-0.9,1.58,1.11,-0.01,20.2,1.58,1.35,-1.43,-5.19,1.58,3.09,2.44,-1008.07,1.58,2.63,0.06,-493.24,1.58,1.45,-0.03,3.64,1.58,1.51,0.03,-0.05,1.58,0.39,-1.88,250.33,1.58,0.68,-1.7,-0.63,1.58,1.41,-4.13,-362.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,1.32,-0.01,-1.24,1.6,1.11,0.01,0.74,1.6,1.32,-1.5,-2.69,1.6,1.54,-22.46,-517.88,1.6,2.63,12.43,-591.28,1.6,1.45,0.01,1.34,1.6,1.51,0.02,1.28,1.6,0.36,8.11,344.46,1.6,0.65,-1.72,-0.67,1.6,1.4,-5.14,-67.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.62,1.32,-0.05,-0.6,1.62,1.11,0.01,0.38,1.62,1.29,-1.46,-2.26,1.62,1.47,-16.37,56.45,1.62,2.62,-8.44,-894.88,1.62,1.45,0.05,0.78,1.62,1.51,0.07,,1.62,0.3,18.54,189.94,1.62,0.61,-1.73,-0.6,1.62,1.39,-0.32,74.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.64,1.32,-0.03,0.34,1.64,1.11,0.03,-0.03,1.64,1.26,-1.55,-3.87,1.64,1.55,-6.55,236.77,1.64,4.12,-41.26,-583.9,1.64,1.46,0.07,-0.74,1.64,1.52,0.16,,1.64,1.49,19.25,-139.27,1.64,0.58,-1.74,-0.43,1.64,1.39,-0.27,45.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.66,1.32,-0.02,0.66,1.66,1.11,0.02,-0.6,1.66,1.23,-1.65,-5.92,1.66,1.11,-6.7,159.71,1.66,0.13,-53.63,653.75,1.66,1.46,0.01,-1.4,1.66,1.52,,,1.66,1.49,9.78,-309.66,1.66,0.54,-1.75,-0.25,1.66,1.39,-0.03,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.68,1.32,0,0.44,1.68,1.11,0,-0.75,1.68,1.2,-1.78,-7.16,1.68,1.11,-3.72,109.86,1.68,0.17,-12.44,1477.25,1.68,1.46,-0.04,-0.48,,,,,1.68,1.48,0.16,-236.08,1.68,0.51,-1.75,-0.11,1.68,1.38,0.02,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,1.32,0,0.47,1.7,1.11,-0.03,0.1,1.7,1.16,-1.94,-7.59,1.7,1.11,-0.04,86.2,1.7,0.13,41.19,1067.15,1.7,1.45,-0.01,0.79,,,,,1.7,1.48,0.47,-83.02,1.7,0.47,-1.75,-0.04,1.7,1.4,0.11,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72,1.32,0.01,0.45,1.72,1.11,-0.01,1.07,1.72,1.12,-2.11,-5.86,1.72,1.11,-0.03,30.47,1.72,2.62,41.18,-65.99,1.72,1.46,0.03,0.52,,,,,1.72,1.52,0.23,-11.18,1.72,0.44,-1.75,-0.06,1.72,1.38,0.05,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.74,1.32,0.03,0.18,1.74,1.11,0.04,1.3,1.74,1.07,-2.23,-2.92,1.74,1.11,-0.05,-0.15,1.74,2.62,20.8,-686.19,1.74,1.46,0.03,-0.95,,,,,1.74,1.51,-0.25,-11.03,1.74,0.4,-1.75,-0.22,1.74,1.4,-0.06,-0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.76,1.32,0.02,-0.3,1.76,1.11,0.05,-1.65,1.76,1.03,-2.2,-1.28,1.76,1.11,-0.05,0.48,1.76,2.62,0.03,-516.67,1.76,1.46,-0.02,-1.89,,,,,1.76,1.48,-0.46,1.31,1.76,0.37,-1.76,-0.41,1.76,1.38,0.05,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.78,1.32,0.01,-0.49,1.78,1.11,0.06,10.94,1.78,0.98,-2.21,-2.13,1.78,1.11,-0.03,1.31,1.78,2.62,0,-71.26,1.78,1.46,-0.07,-1.34,,,,,1.78,1.48,-0.17,12.29,1.78,0.33,-1.77,-0.46,1.78,1.39,0.01,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,1.32,0,-0.21,1.8,1.11,-0.23,44.14,1.8,0.95,-2.28,-3.75,1.8,1.11,0.01,1.49,1.8,2.62,-0.02,32.18,1.8,1.45,-0.09,0.15,,,,,1.8,1.49,0.3,11.06,1.8,0.3,-1.78,-0.22,1.8,1.4,0.05,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82,1.32,0,-0.08,1.82,1.11,1.64,66.68,1.82,0.89,-2.4,-3.62,1.82,1.11,0.04,0.68,1.82,2.62,12.3,-415.05,1.82,1.45,-0.06,1.23,,,,,1.82,1.49,0.46,-0.28,1.82,0.26,-1.78,0.83,1.82,1.39,-0.08,-1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.84,1.32,0.01,-0.58,1.84,1.08,3.77,41.1,1.84,0.85,-2.46,-2.59,1.84,1.11,0.05,-0.73,1.84,2.62,-8.41,-895.23,1.84,1.45,-0.02,1.32,,,,,1.84,1.52,0.24,-10.43,1.84,0.22,-1.77,4.58,1.84,1.39,-0.09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.86,1.32,-0.01,-1.4,1.86,1.34,4.06,-24.87,1.86,0.8,-2.47,-2.11,1.86,1.11,0.01,-1.58,1.86,4.1,-41.42,-758.04,1.86,1.45,0,0.96,,,,,1.86,1.51,-0.14,-10.16,1.86,0.19,-1.68,10.36,1.86,1.39,0.03,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.88,1.32,-0.07,-1.44,1.88,1.34,2.28,-63.05,1.88,0.75,-2.52,-2.5,1.88,1.11,-0.04,-1.24,1.88,0.14,-53.73,307.26,1.88,1.45,0.01,0.82,,,,,1.88,1.49,-0.35,-2.64,1.88,0.15,-1.34,128.24,1.88,1.39,0.06,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9,1.32,-0.1,-0.38,1.9,1.34,0.15,-51.32,1.9,0.7,-2.58,-2.9,1.9,1.11,-0.05,-0.09,1.9,0.14,-33.34,1307.75,1.9,1.45,0.03,0.84,,,,,1.9,1.49,-0.17,3.47,1.9,0.13,-0.98,342.1,1.9,1.39,0.08,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.92,1.32,-0.08,0.72,1.92,1.35,0.12,-19.45,1.92,0.64,-2.64,-2.85,1.92,1.11,-0.03,0.67,1.92,0.14,20.39,1520.67,1.92,1.45,0.05,0.48,,,,,1.92,1.49,-0.05,3.62,1.92,0.12,12.91,426.31,1.92,1.39,0.06,-10.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.94,1.32,-0.04,0.9,1.94,1.35,0.06,-1.62,1.94,0.59,-2.7,-2.67,1.94,1.11,-0.01,0.64,1.94,0.1,41.39,865.96,1.94,1.45,0.06,-0.24,,,,,1.94,1.49,-0.02,4.26,1.94,0.1,25.12,184.29,1.94,1.39,0.52,-51.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.96,1.32,-0.03,0.57,1.96,1.35,0.03,-1.36,1.96,0.54,-2.75,-2.25,1.96,1.11,0,0.29,1.96,2.62,54.02,,1.96,1.46,0.04,-0.56,,,,,1.96,1.49,-0.06,8.2,1.96,1.73,23.72,-244.52,1.96,1.39,-1.65,-83.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
